statefip,year,race,bmprison,wmprison,bmpop,wmpop,error,crack,alcohol,income,ur,poverty,black,perc1519,aidscapita,state,parole,probation,capacity_rated,capacity_operational,capacity_design,bmprate,wmprate
1,1985,2,6227,4210,464428,1427743,0,.2174378,1.9,11566,8.6166668,20.6,25.866339,8.4617682,.67950445,Alabama,2425,16520,9787,9787,9787,1340.7891,294.871
1,1986,1,6657,4423,465387,1434773,0,.27687529,1.9,12164,9.083334,23.799999,25.827267,8.4735804,.85169166,Alabama,3038,21371,10374,10374,10374,1430.4224,308.27176
1,1987,1,7281,4803,467545,1442894,0,.2113712,1.89,12826,7.6500001,21.299999,25.777328,8.397089,1.9672137,Alabama,3456,23406,11107,11107,11107,1557.2832,332.87268
1,1988,1,7244,4605,468281,1445048,0,.55978107,1.89,13698,6.9166665,19.299999,25.734392,8.280076,2.7581367,Alabama,4701,25301,11162,11162,11162,1546.9344,318.67453
1,1989,1,8056,4998,468893,1445678,0,.72182423,1.87,14865,6.6166668,18.9,25.69405,8.0889587,3.8459067,Alabama,5724,25519,11162,11662,11662,1718.0892,345.72015
1,1990,1,9282,5421,470480,1450374,0,.50943607,1.92,15723,6.3333335,19.200001,25.595875,7.8683624,4.3703108,Alabama,5970,27686,13782,13782,13782,1972.8788,373.76566
1,1991,1,10119,5579,476751,1463514,0,.85820383,1.76,16406,6.875,18.799999,25.702427,7.5744863,5.9280496,Alabama,6858,30022,14604,14604,14604,2122.4917,381.20578
1,1992,1,10660,5658,485531,1478520,0,.88543707,1.79,17327,6.8833332,17.299999,25.873686,7.4390697,6.8126879,Alabama,6934,31188,14788,14788,14788,2195.5344,382.67996
1,1993,1,11450,6011,495028,1495463,0,.25412321,1.86,17764,6.625,17.4,26.029261,7.4111776,7.3560781,Alabama,6729,31460,15979,15979,15979,2313.0005,401.9491
1,1994,1,11996,6323,503335,1509607,0,.1229931,1.87,18606,5.3833332,16.4,26.206093,7.429225,8.1920481,Alabama,7235,31284,16508,16508,16508,2383.3035,418.85074
